competition_id,candidate,lag_matches,pairs,slope_recent_change,slope_quality,mean_surprise
eng-premier-league,level-s0.06-form-s0.07,5,7858,0.03369357772815754,-0.010628240403803748,-0.0004944815762376296
eng-premier-league,level-s0.06-form-s0.07,10,5058,0.008986593707914431,-0.022681681271170727,-0.0017222864560087184
eng-premier-league,level-s0.08-form-s0.07,5,7858,0.020107972605367577,-0.01428798273406229,-0.0005835789257649254
eng-premier-league,level-s0.08-form-s0.07,10,5058,-0.014343140446819152,-0.0286422030583125,-0.0019874574752069447
eng-premier-league,level-s0.08-form-s0.10,5,7858,-0.01217757817294875,-0.018040095735738865,-0.0005515147127542407
eng-premier-league,level-s0.08-form-s0.10,10,5058,-0.05528368079662958,-0.03304998755369108,-0.0018158746170914106
eng-premier-league,r0.85-s0.06,5,7858,0.07877647378932598,0.009412238238298802,3.3258472178245227e-06
eng-premier-league,r0.85-s0.06,10,5058,0.07027509891663507,0.013484320839077977,-0.00030170103797140513
eng-premier-league,r0.85-s0.09,5,7858,0.04784658851515251,0.0042524127870179375,-8.895662261999628e-06
eng-premier-league,r0.85-s0.09,10,5058,0.013753905550891368,0.005015450451020436,-0.0006067182891752805
eng-premier-league,r0.85-s0.12,5,7858,0.013205659396389412,-0.0024121973008369105,-4.278917609535198e-05
eng-premier-league,r0.85-s0.12,10,5058,-0.040061043565153207,-0.0053360026554136126,-0.00089912204854798
eng-premier-league,r0.95-s0.06,5,7858,0.08188303124859304,-0.002441225895879325,-0.0002404617226835733
eng-premier-league,r0.95-s0.06,10,5058,0.07812167788205893,-0.00865965658376062,-0.0011374851103766418
eng-premier-league,r0.95-s0.09,5,7858,0.05233192223213536,-0.00731384088640788,-0.0003776878367327647
eng-premier-league,r0.95-s0.09,10,5058,0.023512191247960258,-0.0168678572524056,-0.0016025953342897663
eng-premier-league,r0.95-s0.12,5,7858,0.018967842992234696,-0.01342523076467494,-0.00047414798015361215
eng-premier-league,r0.95-s0.12,10,5058,-0.02872729343767954,-0.02655834608816613,-0.0019394254455094653
eng-premier-league,r1.00-s0.06,5,7858,0.08142195194876133,-0.00798460947059964,-0.0005276026473211311
eng-premier-league,r1.00-s0.06,10,5058,0.08044480280055419,-0.01905577919560607,-0.0019084743905744706
eng-premier-league,r1.00-s0.09,5,7858,0.05312997558346851,-0.012712873655098982,-0.0006859255240566673
eng-premier-league,r1.00-s0.09,10,5058,0.027212656100309842,-0.02710297817423346,-0.002363589724337956
eng-premier-league,r1.00-s0.12,5,7858,0.02078335518837119,-0.018569146357485602,-0.0007864111899720721
eng-premier-league,r1.00-s0.12,10,5058,-0.02392802295418036,-0.03647559740091107,-0.0026626381845398263
eng-championship,level-s0.06-form-s0.07,5,12658,0.0029539877714446377,0.006579968690556272,-0.0002440826886365098
eng-championship,level-s0.06-form-s0.07,10,9058,0.045534482707772404,0.012282924332921864,-0.00037171128308290406
eng-championship,level-s0.08-form-s0.07,5,12658,0.0009171368364844278,0.0021752897189749997,-0.0002668471677387921
eng-championship,level-s0.08-form-s0.07,10,9058,0.034305784548623174,0.005735361882616192,-0.00038069041204304106
eng-championship,level-s0.08-form-s0.10,5,12658,-0.014872121277731586,-0.0015604577928837425,-0.0002705838050056629
eng-championship,level-s0.08-form-s0.10,10,9058,0.002911882784841293,0.004240898463435656,-0.00042556339905650524
eng-championship,r0.85-s0.06,5,12658,0.013975998548856623,0.0164334192111199,-0.0001820315948574739
eng-championship,r0.85-s0.06,10,9058,0.08097225633781027,0.02830590640607531,-0.0002106072509460711
eng-championship,r0.85-s0.09,5,12658,0.01404463582929552,0.012602735645193337,-0.00021120172643681654
eng-championship,r0.85-s0.09,10,9058,0.05801216266876413,0.023243616043288975,-0.0002080951899116822
eng-championship,r0.85-s0.12,5,12658,0.004467139107723578,0.0047900618885094864,-0.00022437577210487102
eng-championship,r0.85-s0.12,10,9058,0.027774936784261583,0.012586507324982874,-0.00017085108758890262
eng-championship,r0.95-s0.06,5,12658,0.01765503559688959,0.0096941752138075,-0.00020559539430409912
eng-championship,r0.95-s0.06,10,9058,0.08628710467519765,0.014438801337890203,-0.00025970345605524724
eng-championship,r0.95-s0.09,5,12658,0.01695669160311862,0.005305055978099898,-0.00023690945799427534
eng-championship,r0.95-s0.09,10,9058,0.06405671739914333,0.008277756265455835,-0.0002524282411852028
eng-championship,r0.95-s0.12,5,12658,0.00767908315919335,-0.0022725503437311624,-0.00025359435139767474
eng-championship,r0.95-s0.12,10,9058,0.03501367310624396,-0.0022090105097213454,-0.00021183916777230095
eng-championship,r1.00-s0.06,5,12658,0.01914344170007488,0.006291732736083592,-0.00023356440242680907
eng-championship,r1.00-s0.06,10,9058,0.08891505587716962,0.0074233851866955134,-0.0003144463222543033
eng-championship,r1.00-s0.09,5,12658,0.018042073718840052,0.001722075046168262,-0.000262043191186209
eng-championship,r1.00-s0.09,10,9058,0.06686267480508612,0.0009232946206402828,-0.0002966473843649847
eng-championship,r1.00-s0.12,5,12658,0.008927723292845628,-0.005713580091008544,-0.0002787050790434829
