competition_id,origin,season_id,rank_rps_difference,points_crps_difference
eng-premier-league,preseason,2015-2016,-0.0002505286315789392,0.19142477349999934
eng-premier-league,preseason,2016-2017,-0.005701541592105253,-0.7254599000000017
eng-premier-league,preseason,2017-2018,0.001875845407894745,-0.2698506190000013
eng-premier-league,preseason,2018-2019,-0.0019318811885964877,-0.5010882509999994
eng-premier-league,preseason,2019-2020,-0.0008226058026315694,-0.0353799409999991
eng-premier-league,preseason,2020-2021,-0.005091080618421038,-0.1362335224999988
eng-premier-league,preseason,2021-2022,-0.005196545315789473,-0.6513512024999975
eng-premier-league,preseason,2022-2023,0.0029541900789473727,0.21194879500000413
eng-premier-league,preseason,2023-2024,-0.0033851877763157985,-0.5885243054999991
eng-premier-league,preseason,2024-2025,0.004460298302631577,0.2220094219999984
eng-premier-league,preseason,2025-2026,-0.002079913723684198,-0.10692601899999699
eng-premier-league,MW6,2015-2016,0.0039267871184210665,0.34195520800000084
eng-premier-league,MW6,2016-2017,-0.0009630964210526196,-0.2647480794999974
eng-premier-league,MW6,2017-2018,0.00033399950000000556,-0.19405452600000023
eng-premier-league,MW6,2018-2019,-0.0034317141842105164,-0.39755992999999773
eng-premier-league,MW6,2019-2020,-0.0017126324078947219,-0.06052587200000006
eng-premier-league,MW6,2020-2021,-0.003271384065789478,-0.22525416700000042
eng-premier-league,MW6,2021-2022,-0.0025706209605263364,-0.40846903550000163
eng-premier-league,MW6,2022-2023,0.0015157625394736807,0.07179438550000064
eng-premier-league,MW6,2023-2024,-0.0028098542894736856,-0.4099116765000003
eng-premier-league,MW6,2024-2025,0.0037823183552631616,0.23982538699999653
eng-premier-league,MW6,2025-2026,-0.0006812829868420793,-0.11971407349999845
eng-premier-league,MW12,2015-2016,0.0015895851710526355,0.30029441850000005
eng-premier-league,MW12,2016-2017,-0.0016268528421052551,-0.2868883800000015
eng-premier-league,MW12,2017-2018,0.000818081578947379,-0.09187169949999599
eng-premier-league,MW12,2018-2019,-0.0015653483157894907,-0.13327496199999694
