candidate,matches,market_slope,mean_squared_residual,scale_share,club_share
r0.85-s0.09,3800,1.218763139782238,0.14952360365712974,0.2865041168825363,0.5554931872007529
r0.85-s0.12,3800,1.1702206648044662,0.14476473072185897,0.19456706776301036,0.5200812755478765
r1.00-s0.09,3800,1.1153268111873034,0.11778363096968779,0.12368177521494816,0.4160907231082439
level-s0.08-form-s0.07,3800,1.1196692558982597,0.1127569124005649,0.13900302369914064,0.4276840311326521
