competition_id,origin,club_seasons,seasons,rank_rps_m7,rank_rps_m10,rank_rps_difference,rank_rps_low,rank_rps_high,points_crps_m7,points_crps_m10,points_crps_difference,points_crps_low,points_crps_high,coverage_50_m7,coverage_50_m10,width_50_m7,width_50_m10,rank_coverage_50_m7,rank_coverage_50_m10,coverage_80_m7,coverage_80_m10,width_80_m7,width_80_m10,rank_coverage_80_m7,rank_coverage_80_m10,coverage_90_m7,coverage_90_m10,width_90_m7,width_90_m10,rank_coverage_90_m7,rank_coverage_90_m10,title_brier_difference,title_brier_low,title_brier_high,top_four_brier_difference,top_four_brier_low,top_four_brier_high,top_five_brier_difference,top_five_brier_low,top_five_brier_high,relegation_brier_difference,relegation_brier_low,relegation_brier_high,promotion_brier_difference,promotion_brier_low,promotion_brier_high,automatic_promotion_brier_difference,automatic_promotion_brier_low,automatic_promotion_brier_high,playoff_qualification_brier_difference,playoff_qualification_brier_low,playoff_qualification_brier_high
eng-premier-league,preseason,220,11,0.10675633710047842,0.10537734156778304,-0.0013789955326953694,-0.00329964142350478,0.0005676909598086137,6.6049397223636355,6.387718743272727,-0.21722097909090837,-0.4191503252897718,-0.021891276929545112,0.4818181818181818,0.509090909090909,13.186363636363636,13.886363636363637,0.6318181818181818,0.6136363636363636,0.740909090909091,0.7363636363636363,24.87727272727273,26.20909090909091,0.8772727272727273,0.8772727272727273,0.8181818181818182,0.85,31.79090909090909,33.45909090909091,0.9409090909090909,0.9318181818181818,-0.00041742009090909123,-0.0018478308664772747,0.0011116160181818188,-0.002886864499999996,-0.005715889580681813,0.00015406768352272288,-0.003973871204545456,-0.006378617590340918,-0.0017243763812499952,0.00015886659090908676,-0.0009656294494318168,0.0013238044965909104,,,,,,,,,
eng-premier-league,MW6,220,11,0.09192489014354063,0.09139018852511958,-0.0005347016184210476,-0.0019355044025119597,0.0010163273708134054,5.488987317272726,5.359290737318182,-0.1296965799545453,-0.265994813986363,0.017500848392044573,0.4909090909090909,0.5227272727272727,11.345454545454546,11.840909090909092,0.6727272727272727,0.6318181818181818,0.7272727272727273,0.7454545454545455,21.554545454545455,22.295454545454547,0.8409090909090909,0.8454545454545455,0.8318181818181818,0.8818181818181818,27.545454545454547,28.495454545454546,0.9318181818181818,0.9227272727272727,0.00015450581818181956,-0.0009065993874999994,0.001325175167613638,-0.0015258185681818182,-0.0036126848085227202,0.0007226486471590822,-0.0018318800227272738,-0.0038905403806818147,0.00024632625852272184,0.0010130607727272761,-0.00020101585568181314,0.002199220670454549,,,,,,,,,
eng-premier-league,MW12,220,11,0.07714385939952147,0.07696267009688992,-0.0001811893026315768,-0.001187312287320575,0.0008130354502093336,4.580739363136364,4.484193888454545,-0.09654547468181825,-0.18756666579886616,0.004909208462499715,0.4909090909090909,0.5045454545454545,9.863636363636363,10.081818181818182,0.6681818181818182,0.6636363636363637,0.7727272727272727,0.7863636363636364,18.486363636363638,18.94090909090909,0.8863636363636364,0.8909090909090909,0.8681818181818182,0.8818181818181818,23.681818181818183,24.20909090909091,0.95,0.95,-0.0006154127954545466,-0.001136865394318184,-8.74342119318187e-05,-0.0003320840227272683,-0.0016106969642045422,0.0012378576909091016,-0.0005940461136363634,-0.00186682954999999,0.0006891067664772646,0.0006980553181818235,-0.00047646396079545106,0.0017703400829545497,,,,,,,,,
eng-premier-league,MW19,220,11,0.05868696282894732,0.058357413639952116,-0.0003295491889952121,-0.0007775367633373157,0.0001631772632177088,3.3946451035000007,3.3328129490454543,-0.06183215445454578,-0.11386749415340963,-0.014081697247726956,0.509090909090909,0.5409090909090909,7.963636363636364,8.086363636363636,0.7318181818181818,0.7181818181818181,0.8181818181818182,0.8181818181818182,15.072727272727272,15.281818181818181,0.8954545454545455,0.9,0.9,0.9045454545454545,19.245454545454546,19.53181818181818,0.9681818181818181,0.9636363636363636,-9.972370454545504e-05,-0.0008195981585227259,0.0006807322232954514,-0.0010278579999999959,-0.0023908943153409055,0.00034998716647727826,-0.0015406843181818206,-0.003027619815909096,-0.0001853610085227269,0.0005199963409090949,-0.0003435340301136259,0.0014095257727272724,,,,,,,,,
eng-premier-league,MW30,220,11,0.04154600454306215,0.04132774892822961,-0.00021825561483253695,-0.0005770053584330161,0.00012927946516148292,2.1716942300909094,2.143671927045455,-0.02802230304545438,-0.051447160704545324,-0.007872169110227154,0.5045454545454545,0.5181818181818182,4.945454545454545,4.8954545454545455,0.7090909090909091,0.7090909090909091,0.8227272727272728,0.8272727272727273,9.204545454545455,9.304545454545455,0.8954545454545455,0.9045454545454545,0.9090909090909091,0.9272727272727272,11.754545454545454,11.85,0.9636363636363636,0.9636363636363636,-0.00017085199999999893,-0.0006351458323863626,0.00022321238863636406,-0.0006556310227272713,-0.002598471946022726,0.001160664689772725,-0.0006920157272727274,-0.0018397752715909065,0.0004439581511363706,0.00045712956818182426,-0.0001995870255681767,0.0012457811505681886,,,,,,,,,
eng-championship,preseason,264,11,0.144410717122859,0.14507882314970352,0.0006681060268445277,0.00019901252857377417,0.0011528272278491438,7.490894574962121,7.48916421621212,-0.0017303587500011176,-0.030584710963068973,0.02970803593939164,0.5303030303030303,0.5568181818181818,16.25,17.602272727272727,0.5871212121212122,0.5984848484848485,0.7765151515151515,0.803030303030303,30.723484848484848,33.13636363636363,0.8560606060606061,0.8598484848484849,0.8636363636363636,0.875,39.21590909090909,42.30681818181818,0.946969696969697,0.9431818181818182,0.0007467990909090899,0.00044167388636363577,0.001118794030303024,,,,,,,0.00010338051136363347,-0.0005486932670454588,0.0007493381714015133,0.000832922196969694,-8.276502083334636e-05,0.0016688430359848548,0.0006415308333333352,-0.0003362609715909107,0.0017965280378787838,0.0009062939962121163,0.00026785265909089775,0.0016367735819128827
eng-championship,MW6,264,11,0.13032993894845188,0.13019398897233198,-0.0001359499761198966,-0.0008934151545413457,0.0006321274123847111,6.8506481742045455,6.799694391325758,-0.05095378287878729,-0.10391289239677826,0.0016742292642048001,0.48484848484848486,0.49242424242424243,14.253787878787879,15.200757575757576,0.5871212121212122,0.5795454545454546,0.75,0.7954545454545454,26.924242424242426,28.640151515151516,0.8825757575757576,0.8787878787878788,0.8598484848484849,0.8863636363636364,34.46212121212121,36.54924242424242,0.9431818181818182,0.9393939393939394,0.0003234109090909086,-3.225482765152041e-05,0.0006783506287878758,,,,,,,-0.0004593856818181787,-0.0011090062746212147,0.00017436871212121792,0.000374560965909095,-0.0008234475624999989,0.0014893290426136372,-0.0001850402840909029,-0.0013484393745265104,0.000929002288825761,0.0002943094886363622,-0.0007393484696969788,0.001375540187026515
eng-championship,MW12,264,11,0.11409433414360999,0.11420951317687744,0.00011517903326745725,-0.0006135920252799805,0.0008078381661725984,5.956208445,5.888898313257574,-0.06731013174242441,-0.10370737092140134,-0.02840568974053068,0.4659090909090909,0.48484848484848486,12.431818181818182,13.109848484848484,0.5795454545454546,0.5643939393939394,0.75,0.7840909090909091,23.636363636363637,24.761363636363637,0.8825757575757576,0.8863636363636364,0.8787878787878788,0.8901515151515151,30.132575757575758,31.571969696969695,0.946969696969697,0.9431818181818182,0.00011597242424242417,-0.00032898762499999857,0.0005592174015151506,,,,,,,-9.570386363636075e-05,-0.0007760873030303015,0.0005545400852272781,0.0008019811363636386,0.00017521236363636083,0.0014704825151515214,0.0002950681818181859,-0.0006862248428030251,0.0012035087878787913,-0.000127789545454551,-0.0005793240625000042,0.00037880019507575356
eng-championship,MW19,264,11,0.09584379239706847,0.09609711184123843,0.00025331944416996064,-0.0003621902465826704,0.0009025186309700243,4.8814955950000005,4.839555121704547,-0.04194047329545391,-0.09186225203219589,0.008610521279357948,0.49242424242424243,0.5075757575757576,10.553030303030303,10.958333333333334,0.5984848484848485,0.5984848484848485,0.7878787878787878,0.8068181818181818,19.943181818181817,20.689393939393938,0.875,0.8674242424242424,0.8825757575757576,0.9166666666666666,25.5,26.450757575757574,0.9393939393939394,0.9431818181818182,0.00018573984848484936,-0.0004460774564393943,0.0008759273636363647,,,,,,,-0.0006692335606060609,-0.001446204157196971,8.609878787872306e-06,0.00019662333333333426,-0.0005221703693181748,0.0008956169185606054,-0.00011192356060606072,-0.0007415150681818162,0.0006134143579545418,-0.0004970139393939421,-0.001635188956439397,0.00036872237499999713
eng-championship,MW30,264,11,0.06171350552289192,0.06159097459897888,-0.00012253092391304314,-0.0004385646309700267,0.00027920964202486924,3.2668243620454547,3.2449997472727277,-0.02182461477272746,-0.04890034651231114,0.004990720495266043,0.553030303030303,0.553030303030303,7.507575757575758,7.636363636363637,0.6515151515151515,0.6515151515151515,0.7916666666666666,0.803030303030303,14.075757575757576,14.386363636363637,0.8901515151515151,0.8901515151515151,0.8901515151515151,0.8977272727272727,17.984848484848484,18.310606060606062,0.9621212121212122,0.9583333333333334,0.00013205212121212136,-0.00039308278219697077,0.0006323620662878772,,,,,,,0.00020835212121212015,-0.0007055771515151561,0.001147944912878785,0.0008851110416666658,0.00012921458570075555,0.001731226520833332,0.0003684683522727267,-0.0002530101022727308,0.0010608790236742388,-0.0002803706818181842,-0.0011935811718749992,0.0007009034256628676
eng-league-one,preseason,216,9,0.1517780089784621,0.15144877317230274,-0.0003292358061594153,-0.0013958691042421487,0.0008302045140398558,8.494304538796296,8.412314641157407,-0.08198989763888924,-0.1738675025787039,0.006376489464120401,0.46296296296296297,0.5231481481481481,16.90740740740741,18.37037037037037,0.5879629629629629,0.5694444444444444,0.7361111111111112,0.7962962962962963,31.97222222222222,34.550925925925924,0.8518518518518519,0.8425925925925926,0.8379629629629629,0.8703703703703703,40.83796296296296,44.00925925925926,0.9259259259259259,0.9305555555555556,-6.64081481481463e-05,-0.00046156171759259524,0.000328734942129638,,,,,,,-0.0009086902777777797,-0.0020790649537037096,0.0001659412962962863,-0.0005961412962963002,-0.002247879407407414,0.0010090284745370365,0.0004921781481481524,-0.0004113632013888896,0.0014434260185185285,-0.00012285905092592592,-0.001143064648148155,0.0009406443518518537
