candidate,control,slice,matches,log_loss,log_loss_low,log_loss_high,brier,score_nll,score_nll_low,score_nll_high
C2-FC,C1-FC,all,22132,-0.0004930156002664001,-0.00072728047523657,-0.00025865455897412576,-0.0003202146181967324,-0.0005652545345162966,-0.0008496797437845136,-0.0002874126169203711
C2-FC,C1-FC,eng-premier-league,4180,-0.0014918179337201091,-0.0023311846147417857,-0.0006271936683672776,-0.0009569454728034564,-0.0015522859000403036,-0.0025920676402303804,-0.0005073847459412409
C2-FC,C1-FC,eng-championship,6072,-0.00033436879279969154,-0.0007502600469449948,6.264176234748916e-05,-0.0002270513195204834,-0.00043031307240716055,-0.0009027727519356616,2.97926449027907e-05
C2-FC,C1-FC,eng-league-one,5920,-0.00036605785436577586,-0.0008541936589649713,9.831169368762727e-05,-0.0002173148997450075,-0.0005271203502063944,-0.0010538212531487018,-3.772019545084268e-05
C2-FC,C1-FC,eng-league-two,5960,-8.024706282228014e-05,-0.00040300094051332443,0.0002353367183512546,-7.077148238134452e-05,-4.8363229340280624e-05,-0.0004224899505748938,0.0003113664667218355
C2-FC,C1-FC,EFL,17952,-0.00026045133144752175,-0.0004978652819152588,-3.260551060188785e-05,-0.00017195620842310792,-0.0003354310547986969,-0.0006059194919861647,-8.45818476304665e-05
C2-FC,r1.00-s0.09,all,22132,-0.0005793955950652127,-0.0008530654424742587,-0.00029839312720938564,-0.00042982139958778115,-0.00041596097385456345,-0.000725456406772823,-0.00011640531870322717
C2-FC,r1.00-s0.09,eng-premier-league,4180,-0.0005821572443429618,-0.0012954572950550178,0.00015101674483820348,-0.00047142956225275205,-0.0006992778507038025,-0.0016396466365039696,0.00027433326527898766
C2-FC,r1.00-s0.09,eng-championship,6072,-0.00048465137017482396,-0.0009706718619193395,-1.8469355810884633e-06,-0.00038299998302314,-0.00019031387049030777,-0.0007704550511861708,0.0003649427224902709
C2-FC,r1.00-s0.09,eng-league-one,5920,-0.0008511631440490017,-0.0013356543710641975,-0.00038090217618519986,-0.0005818674943648296,-0.0006571964374975463,-0.001183930157425952,-0.00011642212537597709
C2-FC,r1.00-s0.09,eng-league-two,5960,-0.00040403978123457825,-0.0008947946435900534,6.674903220522131e-05,-0.0002973154667624114,-0.00020752988687997975,-0.0007405775240241382,0.00030801073125506903
C2-FC,r1.00-s0.09,EFL,17952,-0.000578752563983384,-0.0008751273722249253,-0.00028402023732265004,-0.00042013322445745707,-0.00034999258341172586,-0.0006536691213222042,-6.3514341213605e-08
