candidate,competition_id,log_loss,brier,score_nll,ece,stretch
ALL-FC,eng-championship,1.046912629572742,0.6302386892445506,2.8322699353793244,0.013402380002858448,1.0842251433984262
ALL-FC,eng-league-one,1.0395441774797294,0.6251637699903463,2.8856525027037487,0.013563224928861176,1.1785099517502382
ALL-FC,eng-league-two,1.0626058017618876,0.6413899243630764,2.879581877473713,0.012574634351491242,0.9927365972591357
ALL-FC,eng-premier-league,0.9690249525708942,0.5751288176156685,2.9258505250452544,0.02017249434587952,1.1918849507736993
C1-BMA,eng-championship,1.0469410928515317,0.6302601400728607,2.832183644881424,0.01370504976331978,1.0927744051788968
C1-BMA,eng-league-one,1.0391600090060058,0.6249072153871825,2.885254091791047,0.013486195978672587,1.1918679841055608
C1-BMA,eng-league-two,1.062877880686178,0.6415533988575591,2.8795377848496804,0.011470535605235541,1.0688035486457113
C1-BMA,eng-premier-league,0.9688402763600015,0.5750687048347529,2.92565996001469,0.018656231473053876,1.1852483150941715
C1-FC,eng-championship,1.046912629572742,0.6302386892445506,2.8322699353793244,0.013402380002858448,1.0842251433984262
C1-FC,eng-league-one,1.0395441774797294,0.6251637699903463,2.8856525027037487,0.013563224928861176,1.1785099517502382
C1-FC,eng-league-two,1.0626058017618876,0.6413899243630764,2.879581877473713,0.012574634351491242,0.9927365972591357
C1-FC,eng-premier-league,0.9690249525708942,0.5751288176156685,2.9258505250452544,0.02017249434587952,1.1918849507736993
C2-BMA,eng-championship,1.0465603093361688,0.6299658940212175,2.832036901109447,0.013947479809125604,1.087496088777573
C2-BMA,eng-league-one,1.0390503455581679,0.6248646218585441,2.8850008303019,0.01316643891902206,1.192920263123992
C2-BMA,eng-league-two,1.0625205035660146,0.641303977270055,2.879676760583141,0.011815901738204196,1.030782892157614
C2-BMA,eng-premier-league,0.967806847238747,0.5742717595513979,2.9246663465063283,0.018434836319419265,1.1686030920391584
C2-FC,eng-championship,1.0465478184569872,0.6299648670435887,2.8321367022601276,0.013859312960949268,1.0799077605569454
C2-FC,eng-league-one,1.038973504668381,0.6248195420863343,2.885030034613805,0.013576623434854862,1.1816819451150566
C2-FC,eng-league-two,1.0624395012219,0.6412537326232697,2.879674376325948,0.012766180629027802,1.0084036713219697
C2-FC,eng-premier-league,0.9676290677246225,0.5741851867338829,2.9244725173438195,0.016507080370253044,1.1608209952296134
level-s0.04-form-s0.10,eng-championship,1.0466589263398076,0.630036522209581,2.832002270735954,0.013837307821611175,1.1029114917119787
level-s0.04-form-s0.10,eng-league-one,1.0392954174310207,0.6250339850934443,2.8850128409734066,0.012832746391478052,1.2104847803976115
level-s0.04-form-s0.10,eng-league-two,1.0625607722689578,0.6413328443417096,2.879669759260403,0.011355676125259494,1.0443704701179761
level-s0.04-form-s0.10,eng-premier-league,0.9678946307179397,0.5743260261292675,2.9247074756434257,0.01862316525165884,1.1704218538339908
level-s0.04-form-s0.15,eng-championship,1.0470518489036635,0.6302710616007019,2.8341357183036804,0.015657295209388078,1.0321575910984924
level-s0.04-form-s0.15,eng-league-one,1.0388926459416217,0.6247986836958371,2.8864839105095923,0.0129685049255591,1.138735747140604
level-s0.04-form-s0.15,eng-league-two,1.0629958977897065,0.6416439444720851,2.8815552087672023,0.01388869958318055,0.952430816034994
level-s0.04-form-s0.15,eng-premier-league,0.9688696466171318,0.5749654828413217,2.926801455416773,0.017193207342669888,1.1479746662657637
level-s0.06-form-s0.10,eng-championship,1.0464903037794029,0.6299193433738365,2.832051468750194,0.014239873716372857,1.078352663810159
level-s0.06-form-s0.10,eng-league-one,1.0388967858661404,0.6247598868356229,2.8849858622388576,0.013547917686484183,1.1801419824310724
level-s0.06-form-s0.10,eng-league-two,1.0624358825701794,0.6412480393487838,2.879681541120599,0.012752367901902803,1.0061175403802245
level-s0.06-form-s0.10,eng-premier-league,0.9676228354767218,0.5741714522059415,2.924502071602286,0.01639624111719559,1.158951943657543
level-s0.06-form-s0.15,eng-championship,1.0471266348089783,0.6303232700469179,2.834507841268553,0.015688915337644917,1.0158010459719233
level-s0.06-form-s0.15,eng-league-one,1.0388870703719928,0.6248060860465097,2.886913627464044,0.013852047545160893,1.1164900657231862
level-s0.06-form-s0.15,eng-league-two,1.0632007231190401,0.6417940493513631,2.8820254123085016,0.015672465256688948,0.9279529756158008
level-s0.06-form-s0.15,eng-premier-league,0.9688569672177211,0.5749835265246082,2.9269574703544694,0.01710498016173432,1.1385494789258053
r0.85-s0.06,eng-championship,1.0486724307961768,0.6315046402743179,2.8337868789444554,0.015737522729353876,1.2104635064157059
r0.85-s0.06,eng-league-one,1.043066804459661,0.6276507123009843,2.888423431065033,0.01592484384126807,1.34108590824322
r0.85-s0.06,eng-league-two,1.0644186258583663,0.6426612526412265,2.8812931994580895,0.008538195579213242,1.1653617755004453
r0.85-s0.06,eng-premier-league,0.9729486479909102,0.5776853815066071,2.9303383462642687,0.02648183611382855,1.290996776408608
r0.85-s0.09,eng-championship,1.0472222579369839,0.6304675304272792,2.8322263525071874,0.01463092726975475,1.1480690651695464
r0.85-s0.09,eng-league-one,1.0404254608591745,0.6257755920365746,2.8858676502315017,0.014918615506412452,1.2688199549483323
r0.85-s0.09,eng-league-two,1.0627107831434002,0.6414308073985153,2.879353882815147,0.011447037774328,1.0782704906682778
r0.85-s0.09,eng-premier-league,0.970213717627981,0.5758921001499342,2.9269685187592756,0.022511553597514725,1.240265869974121
r0.85-s0.12,eng-championship,1.0467873597245296,0.6301420062547394,2.832176827583944,0.01323240094941693,1.0874351422335904
r0.85-s0.12,eng-league-one,1.0391281742945389,0.6248801022181825,2.885210675575036,0.013556260967992615,1.1968923389067634
r0.85-s0.12,eng-league-two,1.0622989131937035,0.6411472594284222,2.8792291775497763,0.012457877686851998,0.99759097957319
r0.85-s0.12,eng-premier-league,0.9692949634722012,0.5753329640379463,2.9260941721851617,0.020064505615674837,1.2048446433886628
r0.95-s0.06,eng-championship,1.048162403395444,0.6311757479083864,2.833035924582269,0.013900606574184175,1.154480125479397
r0.95-s0.06,eng-league-one,1.042153230225502,0.6270266810468909,2.8874271408072536,0.013705758391549937,1.2468462279003243
r0.95-s0.06,eng-league-two,1.0641111425804002,0.6424625976306046,2.880903131532388,0.009310617039318453,1.0934492025421743
r0.95-s0.06,eng-premier-league,0.970472342184614,0.5761671476010028,2.927505159038186,0.019120136393908607,1.1955256810839099
r0.95-s0.09,eng-championship,1.047065591194098,0.6303835815432632,2.8320223691148962,0.0129838664253771,1.1027156483967315
r0.95-s0.09,eng-league-one,1.040078050340533,0.6255555724743015,2.885681185056403,0.013525761405711106,1.1942950062788624
r0.95-s0.09,eng-league-two,1.0628042418736967,0.641517957880545,2.879535248135163,0.011373973860595922,1.021405187376291
r0.95-s0.09,eng-premier-league,0.9686800210831289,0.5749706289902017,2.925437328603191,0.019477762620696514,1.1761875892574702
r0.95-s0.12,eng-championship,1.0468140974558535,0.6301812689382008,2.832245667558237,0.01340601702561854,1.051978112883851
r0.95-s0.12,eng-league-one,1.0390713592430154,0.6248659600642901,2.8854271804378677,0.012304620927631663,1.1399007258972522
r0.95-s0.12,eng-league-two,1.062583588248175,0.6413658486658075,2.8796971692843236,0.013439219295509541,0.9550610605982985
r0.95-s0.12,eng-premier-league,0.9681633597288539,0.5746560896286929,2.9250972934635535,0.018001468790416433,1.1580147721241767
r1.00-s0.06,eng-championship,1.0480183143839434,0.6310907574301002,2.83282096157855,0.012781231113819182,1.12597488110779
r1.00-s0.06,eng-league-one,1.041882333856104,0.6268394245917611,2.88721869588905,0.012259714441128238,1.1998777011812058
r1.00-s0.06,eng-league-two,1.064073702310787,0.6424458752395236,2.8808753177625537,0.009424022947411957,1.0567998124746079
r1.00-s0.06,eng-premier-league,0.9696223651661182,0.5756694611575935,2.92671684516138,0.01670084388355109,1.15268323921761
r1.00-s0.09,eng-championship,1.0470629121501172,0.6303946379080533,2.8320299361774075,0.012677822059584067,1.0802199068491403
r1.00-s0.09,eng-league-one,1.0400292827694126,0.6255283225849662,2.8857825787910403,0.012225115408940357,1.1579098234452943
r1.00-s0.09,eng-league-two,1.0629295944802999,0.6416164683474574,2.8797410441312534,0.012412059018619111,0.9934667149931741
r1.00-s0.09,eng-premier-league,0.968115291881517,0.5746433017051178,2.924997516995918,0.01789440809096422,1.146614359304563
r1.00-s0.12,eng-championship,1.0468810413456004,0.6302378038428105,2.832358812847613,0.013924986813344942,1.0344760508649682
r1.00-s0.12,eng-league-one,1.0391318069822655,0.6249179265475037,2.885674023097659,0.011724950026606696,1.1120730702759394
r1.00-s0.12,eng-league-two,1.0627819851516331,0.6415139790434812,2.880014399808089,0.013994678636986065,0.9343089501204829
r1.00-s0.12,eng-premier-league,0.9677257859011106,0.574401315080114,2.9248027364298026,0.016786812016439567,1.1359737544132331
ALL-FC,all,1.0344573422055339,0.6214757476176211,2.8769640813329995,,
C1-BMA,all,1.0344007813656462,0.6214456772553248,2.876785972604758,,
C1-FC,all,1.0344573422055339,0.6214757476176211,2.8769640813329995,,
C2-BMA,all,1.0339755587703316,0.6211358724631205,2.876527733616292,,
C2-FC,all,1.0338961879486304,0.621093651220951,2.8765256762351816,,
level-s0.04-form-s0.10,all,1.0340955914987768,0.6212185747382384,2.8765273278444243,,
level-s0.04-form-s0.15,all,1.0343969801284885,0.6214245310342116,2.87840936018667,,
level-s0.06-form-s0.10,all,1.0338577358253682,0.621061077524508,2.8764979878493375,,
level-s0.06-form-s0.15,all,1.034468769922369,0.6214846647445874,2.878782485550793,,
r0.85-s0.06,all,1.0371116411039873,0.6233134986899879,2.879429893231998,,
r0.85-s0.09,all,1.0350308099448446,0.6218573531688432,2.8771594276064603,,
r0.85-s0.12,all,1.0342800519618331,0.6213465535415882,2.8767713913981816,,
