competition_id,origin,entry_cohort,club_seasons,points_bias_m7,points_bias_m10,rank_rps_difference,points_crps_difference
eng-premier-league,preseason,incumbent,187,-0.5543909090909087,-0.17015401069518746,-0.0016760825161053201,-0.20771372721925052
eng-premier-league,preseason,promoted_from_below,33,4.071687878787877,2.784242424242425,0.00030449737329435255,-0.2710954063636361
eng-premier-league,MW6,incumbent,187,-0.47585454545454564,-0.1947085561497327,-0.00040856219321699797,-0.10068023705882312
eng-premier-league,MW6,promoted_from_below,33,3.3542666666666676,2.4508424242424245,-0.0012494916945773294,-0.2941225230303043
eng-premier-league,MW12,incumbent,187,-0.2250839572192514,0.0023042780748670005,-0.00023715931255276874,-0.08619032524064202
eng-premier-league,MW12,promoted_from_below,33,1.8376727272727282,1.0828757575757575,0.00013597408692184456,-0.15522465484848352
eng-premier-league,MW19,incumbent,187,-0.3007625668449201,-0.17318609625668446,-0.0004950487074303374,-0.05835088213903782
eng-premier-league,MW19,promoted_from_below,33,1.9902999999999997,1.5677848484848482,0.0006082814154704987,-0.08155936424242428
eng-premier-league,MW30,incumbent,187,-0.22745294117647072,-0.17932245989304826,-0.0003112695989304828,-0.030076126096256574
eng-premier-league,MW30,promoted_from_below,33,1.0382757575757586,0.880745454545454,0.0003088236283891561,-0.016383972424242
eng-championship,preseason,incumbent,198,0.7341883838383834,0.8523358585858584,0.0006108212873298146,0.03250156121211966
eng-championship,preseason,promoted_from_below,33,3.306354545454545,2.940933333333334,-0.00047996704874835543,-0.059447229393938025
eng-championship,preseason,relegated_from_above,33,-3.1090333333333335,-2.794384848484849,0.0021598875395256903,-0.14940500787878885
eng-championship,MW6,incumbent,198,0.7055085858585864,0.8165161616161617,-0.00029493503184014377,-0.026907034898989532
eng-championship,MW6,promoted_from_below,33,2.7823242424242416,2.3569575757575767,-0.00043500711791830967,-0.05084470999999899
eng-championship,MW6,relegated_from_above,33,-3.2030212121212123,-2.897681818181818,0.0011170174999999994,-0.19534334363636222
eng-championship,MW12,incumbent,198,0.5973297979797974,0.6728797979797978,0.00020627884277557904,-0.05590553459595992
eng-championship,MW12,promoted_from_below,33,1.2847303030303026,0.8427606060606063,-0.0009261647430829896,-0.015280451515150204
eng-championship,MW12,relegated_from_above,33,-2.5637636363636367,-2.163621212121211,0.0006099239525691738,-0.18776739484848562
eng-championship,MW19,incumbent,198,0.5388580808080812,0.6086787878787879,0.00023676398715414935,-0.04184172479797937
eng-championship,MW19,promoted_from_below,33,0.1793242424242415,-0.22225454545454681,-0.00043086216403162076,-0.00782931484848245
eng-championship,MW19,relegated_from_above,33,-1.3565999999999974,-1.0211969696969667,0.0010368337944664102,-0.07664412272727258
eng-championship,MW30,incumbent,198,0.6155373737373734,0.6484722222222221,-0.00010471676438296055,-0.02894587530303035
eng-championship,MW30,promoted_from_below,33,-0.6227424242424233,-0.8125606060606053,-0.00017301616930171518,0.015385070909090165
eng-championship,MW30,relegated_from_above,33,-1.0164454545454547,-0.8301090909090906,-0.00017893063570486656,-0.016306737272727717
eng-league-one,preseason,incumbent,153,1.9305575163398696,2.108229411764707,-0.0007655558113100272,-0.09979896745098116
eng-league-one,preseason,promoted_from_below,36,-0.08778055555555674,-0.38611111111111013,-0.0002625918055555439,0.010102462500004203
eng-league-one,preseason,relegated_from_above,27,-9.31873333333333,-9.211562962962963,0.002054385555555557,-0.10386164888889278
eng-league-one,MW6,incumbent,153,1.4422235294117653,1.5035601307189548,-0.0008049140927820488,-0.12369894790849739
eng-league-one,MW6,promoted_from_below,36,0.10319999999999949,-0.0822527777777796,-0.0011910566213768027,-0.122703210277779
eng-league-one,MW6,relegated_from_above,27,-7.041062962962962,-6.578622222222221,0.0007630681481481432,-0.1782951581481536
eng-league-one,MW12,incumbent,153,1.1554771241830069,1.1963901960784316,-0.00021928609263995708,-0.10495240960784184
eng-league-one,MW12,promoted_from_below,36,1.0705888888888881,0.9146305555555541,-0.00012893754227053604,-0.04238881083333404
eng-league-one,MW12,relegated_from_above,27,-6.283233333333332,-5.83315185185185,-0.00022766699677939965,-0.2147131555555521
eng-league-one,MW19,incumbent,153,0.8128516339869283,0.8246045751633985,-6.307383418585085e-05,-0.08037655215686178
eng-league-one,MW19,promoted_from_below,36,1.0213833333333333,0.9416472222222221,-0.0008346958786231927,-0.12657258305555769
eng-league-one,MW19,relegated_from_above,27,-4.432762962962962,-4.012781481481481,-0.00013539327697262486,-0.11689245222222694
eng-league-one,MW30,incumbent,153,0.3772496732026145,0.36544313725490246,3.777065430519537e-05,-0.055033332941177425
eng-league-one,MW30,promoted_from_below,36,0.5196805555555561,0.46324722222222253,-5.097004830916879e-05,-0.0446376155555548
eng-league-one,MW30,relegated_from_above,27,-1.424648148148149,-1.091229629629629,0.0003936346497584666,-0.0446053699999974
eng-league-two,preseason,incumbent,162,-0.42697901234567887,-0.5911320987654324,0.00038894584473966995,-0.03889010074074042
eng-league-two,preseason,promoted_from_outside,18,-1.11711111111111,-0.2885666666666666,-0.0021668930193236547,-0.05665870111110665
eng-league-two,preseason,relegated_from_above,36,3.4938527777777804,4.298863888888887,0.0019399834631642458,0.09138468555555718
eng-league-two,MW6,incumbent,162,0.16542901234567906,0.1836166666666664,-8.904173309178516e-05,-0.050130329012346125
eng-league-two,MW6,promoted_from_outside,18,-3.0272111111111086,-2.729238888888888,-0.0015821639553139936,-0.03900783500000301
eng-league-two,MW6,relegated_from_above,36,1.8678527777777774,2.031536111111112,0.000620812161835759,-0.05658932999999991
