season_id,mean,std,competition_id,candidate
2023-2024,0.01477020175218624,0.20709636957900565,eng-premier-league,level-s0.06-form-s0.10
2024-2025,0.03149483697841992,0.1978761138082259,eng-premier-league,level-s0.06-form-s0.10
2025-2026,0.03165776855119327,0.15477893465221976,eng-premier-league,level-s0.06-form-s0.10
2026-2027,0.02368166777183591,0.158594360454479,eng-premier-league,level-s0.06-form-s0.10
2011-2012,0.02552133681350936,0.21155932252742693,eng-premier-league,level-s0.06-form-s0.15
2012-2013,0.04940995324419834,0.2103657400005608,eng-premier-league,level-s0.06-form-s0.15
2013-2014,0.06116383509998009,0.24462026526460548,eng-premier-league,level-s0.06-form-s0.15
2014-2015,0.05171134506180587,0.18003590674256692,eng-premier-league,level-s0.06-form-s0.15
2015-2016,0.0412735778629867,0.19666643996786717,eng-premier-league,level-s0.06-form-s0.15
2016-2017,0.04194234535960236,0.22552801064354974,eng-premier-league,level-s0.06-form-s0.15
2017-2018,0.03584938583718848,0.21092691481528703,eng-premier-league,level-s0.06-form-s0.15
2018-2019,0.025958752754070308,0.23839032208877436,eng-premier-league,level-s0.06-form-s0.15
2019-2020,0.024233802438996963,0.23147078505920057,eng-premier-league,level-s0.06-form-s0.15
2020-2021,0.008868805045753134,0.20844211949713753,eng-premier-league,level-s0.06-form-s0.15
2021-2022,0.01462319675317365,0.25423341228518825,eng-premier-league,level-s0.06-form-s0.15
2022-2023,0.01766164719836937,0.19558419736792296,eng-premier-league,level-s0.06-form-s0.15
2023-2024,0.005920670485130554,0.2142661395894098,eng-premier-league,level-s0.06-form-s0.15
2024-2025,0.01967547945859361,0.1995595840425165,eng-premier-league,level-s0.06-form-s0.15
2025-2026,0.017545297515009783,0.15284395215244392,eng-premier-league,level-s0.06-form-s0.15
2026-2027,0.009438241470661343,0.16073062828509913,eng-premier-league,level-s0.06-form-s0.15
2011-2012,0.02768068307217305,0.20644440833406552,eng-premier-league,level-s0.08-form-s0.07
2012-2013,0.05587956701271825,0.20526751300781396,eng-premier-league,level-s0.08-form-s0.07
2013-2014,0.07198084036750366,0.23495119864984437,eng-premier-league,level-s0.08-form-s0.07
2014-2015,0.05881472132682033,0.18059811940877954,eng-premier-league,level-s0.08-form-s0.07
2015-2016,0.04505026134177339,0.18346463749754932,eng-premier-league,level-s0.08-form-s0.07
2016-2017,0.052634824946307814,0.2187704176433773,eng-premier-league,level-s0.08-form-s0.07
2017-2018,0.0447169431069737,0.22295539189881444,eng-premier-league,level-s0.08-form-s0.07
2018-2019,0.0331836013783547,0.23578443500303825,eng-premier-league,level-s0.08-form-s0.07
2019-2020,0.03337074982636132,0.22146154742801993,eng-premier-league,level-s0.08-form-s0.07
2020-2021,0.016289726623634638,0.20491359471705267,eng-premier-league,level-s0.08-form-s0.07
2021-2022,0.024185705666776636,0.24405422599538995,eng-premier-league,level-s0.08-form-s0.07
2022-2023,0.03439770068081021,0.19711767682069453,eng-premier-league,level-s0.08-form-s0.07
2023-2024,0.02765506193139594,0.205951155421273,eng-premier-league,level-s0.08-form-s0.07
2024-2025,0.0524789350132576,0.20049008255487205,eng-premier-league,level-s0.08-form-s0.07
2025-2026,0.04765638946962692,0.15630425250727176,eng-premier-league,level-s0.08-form-s0.07
2026-2027,0.034350427101998905,0.14876236396758818,eng-premier-league,level-s0.08-form-s0.07
2011-2012,0.027277656480262525,0.20898649719504767,eng-premier-league,level-s0.08-form-s0.10
2012-2013,0.05464942128033216,0.20764077304930004,eng-premier-league,level-s0.08-form-s0.10
2013-2014,0.06927674454101806,0.2399798191297375,eng-premier-league,level-s0.08-form-s0.10
2014-2015,0.057584289273357035,0.18019172707110448,eng-premier-league,level-s0.08-form-s0.10
2015-2016,0.04474758599042687,0.1887744028768529,eng-premier-league,level-s0.08-form-s0.10
2016-2017,0.05057883860874766,0.2222364508930671,eng-premier-league,level-s0.08-form-s0.10
2017-2018,0.042921227801726615,0.21911040593934725,eng-premier-league,level-s0.08-form-s0.10
2018-2019,0.03253623323205666,0.23717853377933198,eng-premier-league,level-s0.08-form-s0.10
2019-2020,0.03147165391623251,0.2254155017955649,eng-premier-league,level-s0.08-form-s0.10
2020-2021,0.014821843441202525,0.20680118933689645,eng-premier-league,level-s0.08-form-s0.10
2021-2022,0.022494907668387205,0.2489260430032448,eng-premier-league,level-s0.08-form-s0.10
