slice,matches,entrant_share,market_more_extreme_share,favourite_differs_share,away_favourite_share,mean_market_favourite,mean_abs_finishing_gap,mean_difference_state_sd,mean_abs_personnel_dir_shift,early_share_first_5
10+ pp,159,0.1761,0.67296,0.1761,0.45912,0.57894,0.32039,0.20617,0.087125,0.1761
under 10 pp,981,0.28338,0.64118,0.073394,0.35576,0.53416,0.26544,0.20578,0.074629,0.12538
