residual,test_season,training_seasons,terms,matches,explained_share,corr
resid,2026-2027,1,venue + scale,40,0.18611,0.52788
resid,2026-2027,1,venue + clubs,40,0.5147,0.75928
resid,2026-2027,1,venue + scale + clubs,40,0.52089,0.76203
resid,2026-2027,2,venue + scale,40,0.20916,0.52788
resid,2026-2027,2,venue + clubs,40,0.47646,0.72562
resid,2026-2027,2,venue + scale + clubs,40,0.47435,0.72403
resid,2026-2027,3,venue + scale,40,0.2317,0.52788
resid,2026-2027,3,venue + clubs,40,0.52833,0.74757
resid,2026-2027,3,venue + scale + clubs,40,0.51693,0.73767
resid,2026-2027,10,venue + scale,40,0.24817,0.52788
resid,2026-2027,10,venue + clubs,40,0.53167,0.73951
resid,2026-2027,10,venue + scale + clubs,40,0.5463,0.74929
resid_m2,2017-2018,1,venue + scale,380,0.027873,0.3854
resid_m2,2017-2018,1,venue + clubs,380,0.26853,0.57067
resid_m2,2017-2018,1,venue + scale + clubs,380,0.2826,0.57526
resid_m2,2018-2019,1,venue + scale,380,-0.18689,0.1009
resid_m2,2018-2019,1,venue + clubs,380,-0.14182,0.36922
resid_m2,2018-2019,1,venue + scale + clubs,380,0.048798,0.44266
resid_m2,2018-2019,2,venue + scale,380,-0.40319,0.1009
resid_m2,2018-2019,2,venue + clubs,380,-0.19603,0.34996
resid_m2,2018-2019,2,venue + scale + clubs,380,0.11557,0.46534
resid_m2,2019-2020,1,venue + scale,380,0.010063,0.10388
resid_m2,2019-2020,1,venue + clubs,380,0.11117,0.38026
resid_m2,2019-2020,1,venue + scale + clubs,380,0.15303,0.41813
resid_m2,2019-2020,2,venue + scale,380,0.002352,0.10388
resid_m2,2019-2020,2,venue + clubs,380,-0.0087179,0.27211
resid_m2,2019-2020,2,venue + scale + clubs,380,0.094749,0.38479
resid_m2,2019-2020,3,venue + scale,380,-0.032235,0.10388
resid_m2,2019-2020,3,venue + clubs,380,-0.050775,0.25421
resid_m2,2019-2020,3,venue + scale + clubs,380,0.091697,0.3885
resid_m2,2020-2021,1,venue + scale,380,0.0027395,0.056845
resid_m2,2020-2021,1,venue + clubs,380,0.31733,0.60986
resid_m2,2020-2021,1,venue + scale + clubs,380,0.41659,0.66604
resid_m2,2020-2021,2,venue + scale,380,0.0049095,0.056845
resid_m2,2020-2021,2,venue + clubs,380,0.42334,0.65879
resid_m2,2020-2021,2,venue + scale + clubs,380,0.42625,0.66682
resid_m2,2020-2021,3,venue + scale,380,-0.011008,0.056845
resid_m2,2020-2021,3,venue + clubs,380,0.28568,0.56005
resid_m2,2020-2021,3,venue + scale + clubs,380,0.28377,0.57474
resid_m2,2020-2021,4,venue + scale,380,-0.047184,0.056845
resid_m2,2020-2021,4,venue + clubs,380,0.25024,0.54808
resid_m2,2020-2021,4,venue + scale + clubs,380,0.27092,0.57527
resid_m2,2021-2022,1,venue + scale,380,-0.027465,0.10126
resid_m2,2021-2022,1,venue + clubs,380,0.11488,0.45057
resid_m2,2021-2022,1,venue + scale + clubs,380,0.17444,0.49029
resid_m2,2021-2022,2,venue + scale,380,-0.023049,0.10126
resid_m2,2021-2022,2,venue + clubs,380,-0.041077,0.32862
resid_m2,2021-2022,2,venue + scale + clubs,380,0.058655,0.372
resid_m2,2021-2022,3,venue + scale,380,-0.025515,0.10126
resid_m2,2021-2022,3,venue + clubs,380,0.016626,0.34372
resid_m2,2021-2022,3,venue + scale + clubs,380,0.16147,0.42844
resid_m2,2021-2022,5,venue + scale,380,-0.06049,0.10126
resid_m2,2021-2022,5,venue + clubs,380,0.20584,0.50598
resid_m2,2021-2022,5,venue + scale + clubs,380,0.37403,0.59506
resid_m2,2022-2023,1,venue + scale,380,-0.013106,0.06869
resid_m2,2022-2023,1,venue + clubs,380,-0.065024,0.30792
resid_m2,2022-2023,1,venue + scale + clubs,380,-0.22827,0.20604
resid_m2,2022-2023,2,venue + scale,380,0.02804,0.06869
resid_m2,2022-2023,2,venue + clubs,380,-0.282,0.13647
resid_m2,2022-2023,2,venue + scale + clubs,380,-0.35822,0.094773
resid_m2,2022-2023,3,venue + scale,380,0.023572,0.06869
resid_m2,2022-2023,3,venue + clubs,380,-0.37197,0.088299
resid_m2,2022-2023,3,venue + scale + clubs,380,-0.50813,0.04378
resid_m2,2022-2023,6,venue + scale,380,-0.0099632,0.06869
resid_m2,2022-2023,6,venue + clubs,380,-0.31262,0.093652
resid_m2,2022-2023,6,venue + scale + clubs,380,-0.46339,0.073875
resid_m2,2023-2024,1,venue + scale,380,-0.0048373,0.11493
resid_m2,2023-2024,1,venue + clubs,380,-0.15318,0.25217
resid_m2,2023-2024,1,venue + scale + clubs,380,-0.13709,0.25394
resid_m2,2023-2024,2,venue + scale,380,-0.04184,0.11493
resid_m2,2023-2024,2,venue + clubs,380,0.064431,0.39128
resid_m2,2023-2024,2,venue + scale + clubs,380,0.088329,0.40333
resid_m2,2023-2024,3,venue + scale,380,-0.0039578,0.11493
resid_m2,2023-2024,3,venue + clubs,380,-0.050626,0.28256
resid_m2,2023-2024,3,venue + scale + clubs,380,0.027595,0.32698
resid_m2,2023-2024,7,venue + scale,380,0.0055737,0.11493
resid_m2,2023-2024,7,venue + clubs,380,-0.091899,0.26619
resid_m2,2023-2024,7,venue + scale + clubs,380,0.030037,0.38651
