comparison,period,scope,matches,log_loss,log_loss_low,log_loss_high,score_nll,score_nll_low,score_nll_high,brier
E1 minus M10,test,EFL club match 6-10,2003,-0.000226,-0.000604,0.000343,-0.000404,-0.000773,0.000144,-0.000173
E1 minus M10,test,Club match 11-20,5099,0.000109,-0.000225,0.000489,0.000080,-0.000261,0.000423,0.000095
E1 minus M10,test,PL club match 11-20,1112,0.000019,-0.000649,0.000590,0.000188,-0.000667,0.001045,0.000149
E1 minus M10,test,EFL club match 11-20,3987,0.000135,-0.000257,0.000504,0.000050,-0.000358,0.000444,0.000080
E1 minus M10,test,Club match 21-99,11924,0.000294,0.000092,0.000501,0.000265,0.000052,0.000479,0.000194
E1 minus M10,test,PL club match 21-99,1963,0.000372,0.000095,0.000623,0.000313,-0.000053,0.000682,0.000247
E1 minus M10,test,EFL club match 21-99,9961,0.000279,0.000041,0.000524,0.000256,0.000005,0.000507,0.000184
E1 minus M10,test,"Entrant matches, club match 1-5",1067,-0.000060,-0.000761,0.000934,-0.000841,-0.001610,0.000363,-0.000059
E1 minus M10,test,"Entrant matches, club match 1-10",2096,-0.000049,-0.000905,0.000927,-0.000610,-0.001551,0.000388,-0.000047
E1 minus M10,2026/27,All,266,0.000533,,,0.000620,,,0.000368
E1 minus M10,2026/27,PL,40,0.001515,,,0.000896,,,0.001121
E1 minus M10,2026/27,Ch,83,0.001897,,,0.001403,,,0.001341
E1 minus M10,2026/27,L1,71,-0.000834,,,0.000015,,,-0.000384
E1 minus M10,2026/27,L2,72,-0.000237,,,0.000162,,,-0.000431
E1 minus M10,2026/27,EFL,226,0.000359,,,0.000571,,,0.000234
E1 minus M10,2026/27,Entrant matches,115,-0.000752,,,-0.000842,,,-0.000626
E1 minus M10,2026/27,Continuing matches,151,0.001512,,,0.001734,,,0.001124
E1 minus M10,2026/27,Club match 1-5,221,0.001160,,,0.001025,,,0.000861
E1 minus M10,2026/27,PL club match 1-5,40,0.001515,,,0.000896,,,0.001121
E1 minus M10,2026/27,EFL club match 1-5,181,0.001082,,,0.001053,,,0.000803
E1 minus M10,2026/27,Club match 6-10,45,-0.002546,,,-0.001366,,,-0.002054
E1 minus M10,2026/27,EFL club match 6-10,45,-0.002546,,,-0.001366,,,-0.002054
E1 minus M10,2026/27,"Entrant matches, club match 1-5",96,0.000250,,,-0.000178,,,0.000177
E1 minus M10,2026/27,"Entrant matches, club match 1-10",115,-0.000752,,,-0.000842,,,-0.000626
S1 minus M10,test,All,22132,-0.000006,-0.000357,0.000334,0.000657,0.000246,0.001066,0.000013
S1 minus M10,test,PL,4180,0.000263,-0.000529,0.001024,0.000532,-0.000424,0.001440,0.000283
S1 minus M10,test,Ch,6072,-0.000034,-0.000763,0.000691,0.000749,0.000044,0.001515,-0.000053
S1 minus M10,test,L1,5920,-0.000371,-0.001021,0.000351,0.000550,-0.000313,0.001436,-0.000241
S1 minus M10,test,L2,5960,0.000197,-0.000480,0.000862,0.000758,-0.000016,0.001550,0.000144
S1 minus M10,test,EFL,17952,-0.000068,-0.000428,0.000321,0.000686,0.000240,0.001165,-0.000050
S1 minus M10,test,Entrant matches,9189,0.000087,-0.000329,0.000484,0.000638,0.000154,0.001110,0.000071
S1 minus M10,test,Continuing matches,12943,-0.000072,-0.000582,0.000463,0.000671,0.000016,0.001284,-0.000028
S1 minus M10,test,Club match 1-5,2554,0.000418,-0.000259,0.001244,0.001770,0.000609,0.003006,0.000276
S1 minus M10,test,PL club match 1-5,553,0.000362,-0.001386,0.002134,0.001773,-0.000944,0.004485,0.000275
S1 minus M10,test,EFL club match 1-5,2001,0.000433,-0.000377,0.001319,0.001769,0.000899,0.002553,0.000276
S1 minus M10,test,Club match 6-10,2555,-0.000039,-0.000929,0.000908,0.000757,-0.000680,0.002170,0.000000
S1 minus M10,test,PL club match 6-10,552,0.001605,-0.000098,0.003215,0.001078,-0.001683,0.003720,0.001371
S1 minus M10,test,EFL club match 6-10,2003,-0.000492,-0.001364,0.000383,0.000669,-0.000867,0.002187,-0.000377
S1 minus M10,test,Club match 11-20,5099,0.000427,-0.000474,0.001224,0.001293,0.000374,0.002226,0.000351
S1 minus M10,test,PL club match 11-20,1112,-0.000170,-0.001720,0.001194,0.000828,-0.000478,0.002158,-0.000005
S1 minus M10,test,EFL club match 11-20,3987,0.000594,-0.000287,0.001408,0.001423,0.000382,0.002422,0.000451
S1 minus M10,test,Club match 21-99,11924,-0.000275,-0.000674,0.000115,0.000126,-0.000295,0.000559,-0.000185
S1 minus M10,test,PL club match 21-99,1963,0.000102,-0.000564,0.000820,-0.000138,-0.000919,0.000649,0.000141
S1 minus M10,test,EFL club match 21-99,9961,-0.000349,-0.000769,0.000074,0.000178,-0.000293,0.000659,-0.000249
S1 minus M10,test,"Entrant matches, club match 1-5",1067,0.000151,-0.000797,0.001340,0.001270,0.000232,0.002487,0.000017
S1 minus M10,test,"Entrant matches, club match 1-10",2096,0.000585,-0.000187,0.001408,0.001375,0.000422,0.002350,0.000401
S1 minus M10,2026/27,All,266,0.003099,,,0.005587,,,0.002269
S1 minus M10,2026/27,PL,40,0.001429,,,0.000732,,,0.000992
S1 minus M10,2026/27,Ch,83,0.003468,,,0.007464,,,0.002606
S1 minus M10,2026/27,L1,71,0.002341,,,0.004292,,,0.001576
S1 minus M10,2026/27,L2,72,0.004349,,,0.007399,,,0.003274
S1 minus M10,2026/27,EFL,226,0.003395,,,0.006447,,,0.002495
S1 minus M10,2026/27,Entrant matches,115,0.000891,,,0.004711,,,0.000576
S1 minus M10,2026/27,Continuing matches,151,0.004780,,,0.006255,,,0.003558
S1 minus M10,2026/27,Club match 1-5,221,0.003398,,,0.005526,,,0.002481
S1 minus M10,2026/27,PL club match 1-5,40,0.001429,,,0.000732,,,0.000992
S1 minus M10,2026/27,EFL club match 1-5,181,0.003834,,,0.006586,,,0.002810
S1 minus M10,2026/27,Club match 6-10,45,0.001629,,,0.005887,,,0.001228
